gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,1,65,1,0,2,1,1,1,1,1,1,2,1,1,19.85,21,0
0,0,1,1,26,1,0,2,1,1,1,1,1,1,2,0,1,19.65,11,0
1,0,0,0,16,1,0,0,0,0,0,2,0,0,0,1,3,49.45,15,0
0,0,1,0,54,1,2,1,2,2,0,0,2,2,1,0,0,106.55,40,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.1,0,1
1,0,0,1,5,1,0,2,1,1,1,1,1,1,2,0,3,20.45,3,0
0,0,0,0,19,0,1,0,0,2,0,0,0,2,0,1,2,39.7,14,0
1,0,0,0,10,1,2,0,2,0,0,0,0,0,0,1,1,54.5,13,0
0,0,1,1,23,1,0,1,0,2,2,2,0,0,0,0,2,83.8,27,1
1,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,3,55.15,4,1
0,0,0,0,72,1,2,1,0,2,2,2,2,2,2,1,0,111.6,42,0
1,1,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,86.65,16,1
0,0,1,1,10,1,0,0,0,2,2,0,0,0,0,1,3,55.55,12,0
1,0,1,0,11,1,0,2,1,1,1,1,1,1,1,1,3,20.55,5,0
0,1,0,0,37,1,2,1,2,2,0,0,2,2,0,1,0,106.75,35,1
1,0,1,1,17,1,2,0,2,0,0,2,0,0,1,1,3,62.1,19,0
0,0,1,1,36,1,2,1,2,0,2,0,2,2,0,1,1,104.5,34,0
1,1,0,0,17,1,0,1,0,2,2,0,2,2,0,1,2,101.8,25,0
0,1,1,1,66,1,2,1,2,2,0,2,2,2,1,1,1,110.6,41,0
1,0,1,1,61,1,0,0,2,2,2,2,2,2,1,0,0,84.9,38,0
1,0,0,0,22,1,0,1,0,2,0,0,2,2,0,1,3,93.2,29,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.4,1,0
0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,70.55,10,0
1,0,0,0,31,1,0,1,0,2,0,2,0,0,0,1,2,78.45,31,1
0,0,1,1,68,1,0,0,2,2,2,2,2,2,2,1,1,85.0,39,0
0,0,1,1,34,1,2,1,0,0,2,0,2,0,0,0,2,87.45,32,1
0,0,1,1,52,1,0,1,0,2,2,2,0,0,0,0,0,85.8,36,0
0,0,0,1,10,1,0,1,0,0,2,2,2,0,0,1,2,91.1,18,0
1,0,1,1,29,1,0,1,0,0,0,0,0,0,0,1,2,70.75,28,1
0,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,0,20.1,23,0
1,0,1,1,47,1,0,2,1,1,1,1,1,1,1,0,3,20.05,17,0
1,0,1,1,24,1,2,0,2,0,0,0,2,2,1,0,3,74.8,26,0
1,0,0,0,65,1,2,2,1,1,1,1,1,1,1,0,1,24.8,24,0
0,0,0,0,4,1,2,1,0,0,0,2,2,2,0,1,3,100.85,9,0
1,1,1,0,12,1,2,1,0,2,0,0,2,2,0,1,2,101.35,20,1
1,0,0,0,1,1,2,1,2,0,0,0,0,0,0,1,2,81.7,2,1
1,0,0,0,33,1,0,1,0,0,0,0,0,0,0,0,2,68.25,30,1
0,0,0,0,34,1,0,1,0,2,2,2,2,2,0,1,2,105.1,33,0
0,0,1,0,14,1,0,2,1,1,1,1,1,1,2,0,3,20.4,7,0
0,0,0,0,4,1,0,1,0,0,0,0,0,2,0,1,2,79.15,8,1
1,0,1,1,13,1,0,2,1,1,1,1,1,1,1,0,3,20.0,6,0
0,0,1,1,65,1,2,0,0,2,0,2,2,2,2,1,0,79.4,37,0
1,0,1,1,23,1,0,0,2,0,0,2,0,0,1,0,1,57.2,22,0
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,2548,0
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1509,0
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,200,1
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1443,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,968,1
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6147,1
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1593,0
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,2652,0
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2689,1
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3065,0
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,4866,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,2879,0
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,4736,0
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4308,1
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2380,0
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,6002,0
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,89,0
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,5747,0
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4459,1
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1476,0
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3383,1
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1694,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1652,1
